edad;sexo;febpol_ult;fefe_ult;terri;canal;Polizas_cia;Renta;Geo_Medio; PMf ;igaract;PM_i;igaract_i;Rescates;Rescates_X;Parciales;fefe1;fnac1;febpol1;ypol;response
55;2;0;20230601;9;3;Multipoliza;32645;8; 44,771 ;2.8;43654.78;2.7;0;0;Sin Rescates Parciales;2023;1970;0;2;0
43;2;0;20230601;1;4;Multipoliza;22000;7; 10,567 ;2.5;10357.28;2.7;0;0;Sin Rescates Parciales;2023;1982;0;2;0
79;2;0;20230601;2;4;Multipoliza;27153;5; 37,118 ;2.5;36329.54;2.7;0;0;Sin Rescates Parciales;2023;1946;0;2;0
67;2;0;20230606;3;4;Monopoliza;21739;4; 21,179 ;2.5;20738.22;2.7;0;0;Sin Rescates Parciales;2023;1958;0;2;0
69;1;0;20230612;1;4;Monopoliza;22000;9; 72,515 ;2.5;71188.56;2.7;0;0;Sin Rescates Parciales;2023;1956;0;2;0
66;1;20251216;20230616;5;4;Multipoliza;15913;9; 158,961 ;2.5;155743.2;2.7;152731.77;0;Sin Rescates Parciales;2023;1959;2025;2;1
56;1;0;20230622;1;4;Multipoliza;17451;9; 26,473 ;2.5;25910.81;2.7;0;0;Sin Rescates Parciales;2023;1969;0;2;0
67;2;0;20230621;2;6;Multipoliza;31935;7; 44,899 ;2.5;43989.63;2.7;0;0;Sin Rescates Parciales;2023;1958;0;2;0
67;2;20251007;20230726;3;6;Multipoliza;22000;10; 12,545 ;2.5;12367;2.7;12048.29;0;Sin Rescates Parciales;2023;1958;2025;2;1
79;2;0;20230728;2;4;Multipoliza;21578;10; 15,970 ;2.5;15638.14;2.7;0;0;Sin Rescates Parciales;2023;1946;0;2;0
52;1;0;20230803;4;6;Multipoliza;38224;4; 2,846 ;2.5;2786.68;2.7;0;0;Sin Rescates Parciales;2023;1973;0;2;0
87;1;0;20230807;2;4;Multipoliza;25546;7; 111,156 ;2.9;108928.72;2.7;0;0;Rescates Parciales;2023;1938;0;2;0
80;2;0;20230811;5;4;Multipoliza;18391;7; 18,982 ;2.5;18587.13;2.7;0;0;Sin Rescates Parciales;2023;1945;0;2;0
51;2;0;20230814;10;6;Monopoliza;18842;7; 16,869 ;2.5;16518.36;2.7;0;0;Sin Rescates Parciales;2023;1974;0;2;0
56;1;0;20230829;4;6;Monopoliza;21985;9; 35,596 ;2.5;34944.91;2.7;0;0;Sin Rescates Parciales;2023;1969;0;2;0
