tipologia_empresa,risk_data_date,fiscal_province_desc,risk_segment_id,cnae_codigo,puntuacion_intrinseca,puntuacion_comparable,xti_marcacoh,latitud,longitud,customer_id_codificado
PYME,2023-12-31,ALICANTE,01,43,62.73,636.85954247,0.0,38.6000000,-0.0500000,702558039
PYME,2024-12-31,BARCELONA,01,73,70.23,661.8213349700001,0.0,41.3900000,2.1300000,119769491
PYME,2023-12-31,VALENCIA,03,38,71.87,638.5777120500001,1.0,39.2600000,-0.4700000,795718158
PYME,2024-12-31,BARCELONA,01,68,55.71,613.49530469,0.0,41.8300000,1.7500000,419682595
PYME,2023-12-31,LLEIDA,02,81,66.22,656.75229216,0.0,41.6200000,0.6200000,863714039
PYME,2023-12-31,CADIZ,01,62,50.6,596.4880034,0.0,36.5800000,-6.2200000,507468028
PYME,2024-12-31,TARRAGONA,03,56,69.27,634.6742930500001,0.0,41.0900000,0.6700000,831030412
PYME,2023-12-31,BARCELONA,01,47,69.39,659.02561421,0.0,41.3800000,2.1700000,514943824
PYME,2024-12-31,SEGOVIA,01,16,52.06,601.34723234,0.0,41.1100000,-3.7700000,629348283
PYME,2023-12-31,SEVILLA,02,25,53.39,608.19679792,0.0,37.1700000,-5.9400000,203749951
PYME,2024-12-31,BARCELONA,07,43,52.4,606.3671726,0.0,41.3600000,2.1200000,270410030
PYME,2024-12-31,SEVILLA,01,47,67.18,651.67020602,0.0,37.4000000,-5.9200000,354298920
PYME,2023-12-31,BADAJOZ,03,41,69.08,634.3890432000001,0.0,38.9700000,-5.8600000,184211584
PYME,2024-12-31,ZARAGOZA,03,49,57.05,616.32822375,0.0,41.5500000,-0.9600000,985516042
PYME,2024-12-31,A CORUÑA,01,56,65.55,646.24517645,0.0,42.8800000,-8.5500000,870180373
PYME,2024-12-31,MADRID,01,56,65.98,647.67631922,0.0,40.4300000,-3.6800000,434147783
PYME,2024-12-31,LA RIOJA,01,86,79.72,693.40632308,0.0,42.4900000,-2.5200000,409416079
PYME,2024-12-31,ASTURIAS,01,45,73.0,671.040557,0.0,43.5400000,-5.6700000,129896326
PYME,2024-12-31,SEVILLA,02,47,62.55,642.8630744,0.0,37.4000000,-5.9900000,258481731
PYME,2024-12-31,BARCELONA,01,43,75.83,680.4594733700001,0.0,41.9200000,2.2500000,908192808
PYME,2024-12-31,MALAGA,01,56,71.29,665.3492683100001,0.0,36.6900000,-4.4500000,371747383
PYME,2023-12-31,SEVILLA,01,56,57.85,620.61773615,0.0,37.4000000,-6.0400000,876922182
PYME,2023-12-31,HUESCA,03,64,71.81,638.4876331500001,0.0,42.0400000,0.1300000,689957742
PYME,2024-12-31,CIUDAD REAL,01,56,50.57,596.38815623,0.0,39.2800000,-2.7900000,886545004
PYME,2023-12-31,VALENCIA,03,19,48.45,603.41691475,0.0,39.5700000,-0.6200000,298647313
PYME,2023-12-31,BADAJOZ,01,68,72.08,667.97857712,0.0,38.8800000,-6.9700000,800243778
PYME,2023-12-31,GRANADA,01,38,74.55,676.19932745,0.0,37.2500000,-3.7500000,651926017
PYME,2024-12-31,ALICANTE,02,46,82.11,716.88844208,0.0,38.7400000,-0.4400000,676679507
PYME,2024-12-31,HUESCA,01,81,73.55,672.87108845,0.0,42.7400000,-0.3100000,814622749
PYME,2023-12-31,BARCELONA,03,41,70.44,636.4308316,0.0,41.4100000,2.2000000,668957902
PYME,2024-12-31,BARCELONA,01,86,74.42,675.7666563800001,0.0,41.4300000,2.1400000,850598206
PYME,2023-12-31,VALLADOLID,01,46,59.51,626.14261289,0.0,41.6600000,-4.7900000,873135156
PYME,2024-12-31,ASTURIAS,01,45,49.88,594.09167132,0.0,43.3900000,-5.6600000,284007839
PYME,2024-12-31,A CORUÑA,03,69,55.86,614.5416589,0.0,43.3700000,-8.4100000,875862668
PYME,2023-12-31,GIRONA,01,68,64.8,643.7489972,0.0,42.2000000,2.7000000,323764753
PYME,2023-12-31,CADIZ,02,23,48.02,587.87388256,0.0,36.4000000,-6.1300000,328655837
PYME,2024-12-31,LLEIDA,02,46,73.15,682.9790712,0.0,42.7100000,0.8000000,583629820
PYME,2024-12-31,BARCELONA,03,41,44.999,598.235876685,1.0,41.6300000,2.1700000,258425591
PYME,2023-12-31,LEON,01,45,53.34,605.60737826,0.0,42.5900000,-5.6100000,921365142
PYME,2023-12-31,JAEN,02,47,68.22,664.3213481600001,0.0,38.0300000,-3.3700000,933621642
PYME,2024-12-31,ILLES BALEARS,03,92,62.12,623.9398908000001,0.0,39.6300000,2.6000000,453852406
PYME,2024-12-31,ALICANTE,03,86,54.34,612.2596601,1.0,38.2600000,-0.6900000,478553178
PYME,2024-12-31,MADRID,01,25,61.79,633.73099781,0.0,40.4600000,-3.7100000,995209785
PYME,2024-12-31,BARCELONA,02,25,74.08,686.49868224,0.0,41.3400000,1.7000000,796517725
PYME,2024-12-31,BADAJOZ,03,96,68.22,633.0979123000001,0.0,38.8700000,-6.3800000,297555617
PYME,2023-12-31,GUADALAJARA,03,62,60.78,621.9281287000001,0.0,40.6400000,-3.1600000,929313431
PYME,2023-12-31,LAS PALMAS,01,93,65.66,646.61128274,0.0,28.1100000,-15.4200000,245661317
PYME,2024-12-31,BARCELONA,01,43,71.07,664.61705573,0.0,41.3600000,2.0800000,646296299
PYME,2023-12-31,GRANADA,02,43,71.38,676.28045664,0.0,37.1500000,-3.6200000,230948838
